Calories Cal,Fat Cal Cal,Fat g,Fat %,Sat Fat g,Sat Fat %,Trans Fat g,Chol mg,Chol %,Sodium mg,Sodium %,Potassium mg,Potassium %,Carbs g,Carbs %,Dietary Fiber g,Dietary Fiber %,Sugars g,Protein g,Calcium %,Iron %,
Shrimp - .5 oz Portion (14g),17,0,0,0%,0,0%,0,30,10%,135,6%,0,0%,0,0%,0,0%,0,3,2%,0%
Shrimp Nigiri - 1.5 oz Serving (43g),55,0,0,0%,0,0%,0,30,10%,260,11%,0,0%,9,3%,0,0%,1,4,2%,2%
Shrimp Tempura - 1 oz Portion (28g),21,0,0,0%,0,0%,0,30,11%,110,5%,0,0%,1,0%,0,0%,0,4,0%,0%
Shrimp Tempura Roll - Roll (204g),324,117,13,20%,1.5,7%,0,40,14%,870,36%,80,2%,42,14%,2,6%,9,10,2%,8%
Shrimp Tempura Yubu Sushi - 2.4 oz Portion (68g),107,18,2,3%,0,0%,0,15,5%,400,17%,0,0%,14,5%,0,1%,4,4,4%,4%
Southern Sushi Burrito - Burrito (279g),392,117,13,20%,1.5,7%,0,65,21%,1230,51%,130,3%,56,19%,3,10%,17,13,2%,15%
Spicy Mayo - 0.5 oz Portion (14g),86,81,9,14%,1,6%,0,10,3%,80,3%,0,0%,2,1%,0,0%,1,0,0%,0%
Spicy Tuna - 2 oz Portion (57g),74,22,2.5,4%,0,1%,0,25,8%,180,7%,25,1%,< 1,0%,0,0%,< 1,10,0%,2%
Spicy Tuna - 1.5 oz Serving (43g),55,14,1.5,3%,0,1%,0,15,6%,135,6%,20,0%,0,0%,0,0%,0,7,0%,2%
Spicy Tuna Crunch Roll - Roll (180g),272,54,6,10%,0.5,2%,0,35,12%,750,31%,80,2%,36,12%,2,6%,9,14,2%,10%
Spicy Tuna Yubu Sushi - 2.25 oz Portion (64g),119,22,2.5,4%,0,2%,0,10,3%,270,11%,10,0%,13,4%,0,0%,5,6,2%,4%
Sriracha - 0.5 oz Serving (14g),14,0,0,0%,0,0%,0,0,0%,170,7%,0,0%,3,1%,0,0%,3,0,0%,0%
Sushi Rice - 6 oz Serving (170g),228,0,0,0%,0,0%,0,0,0%,750,31%,0,0%,51,17%,0,0%,7,4,0%,10%
